name,industry,sub_industry,country,founded_date,closed_date,lifespan_days,total_funding_usd,funding_rounds,death_cause,death_cause_details,stage_at_death,number_of_employees,tags
WeWork,Real Estate,Coworking,USA,2010-01-01,2023-11-01,5000,12000000000,8,Cash Flow Problems,"Overexpansion and failed IPO attempt",Series G,12000,"coworking,real-estate,softbank"
Theranos,Healthcare,Health Tech,USA,2003-01-01,2018-09-01,5700,700000000,7,Fraud,"False claims about blood testing technology",Series C,800,"healthtech,diagnostics,fraud"
Juicero,Consumer Electronics,Kitchen Tech,USA,2013-01-01,2017-09-01,1700,120000000,4,Market Fit Issues,"Overpriced juice press with minimal value",Series B,300,"kitchen,hardware,premium"
Quibi,Media & Entertainment,Streaming,USA,2018-01-01,2020-12-01,1060,1750000000,5,Market Fit Issues,"Failed to differentiate from competitors",Series C,200,"streaming,media,mobile"
FTX,FinTech,Cryptocurrency,USA,2019-01-01,2022-11-01,1395,2000000000,6,Fraud,"Crypto exchange collapse due to fraud",Series C,350,"crypto,exchange,blockchain"
Soraa,Semiconductors,LED Lighting,USA,2008-01-01,2020-06-01,4550,233000000,7,Cash Flow Problems,"Failed to compete with Chinese manufacturers",Series E,600,"semiconductors,LED,hardware"
Jawbone,Consumer Electronics,Wearables,USA,1999-01-01,2017-07-01,6750,933000000,7,Cash Flow Problems,"Could not compete with Fitbit and Apple",Series E,500,"wearables,fitness,hardware"
Beepi,Automotive,Online Marketplace,USA,2013-01-01,2016-02-01,1095,150000000,6,Cash Flow Problems,"High operational costs and low margins",Series C,180,"automotive,marketplace,ecommerce"
Zume Pizza,Food Tech,Automated Food,USA,2016-01-01,2020-06-01,1610,375000000,4,Market Fit Issues,"Robotic pizza making not viable",Series C,200,"foodtech,robotics,automation"
Bird,Semiconductors,Scooters,USA,2017-01-01,2023-01-01,2190,500000000,5,Cash Flow Problems,"Regulatory challenges and unit economics",Series C,1500,"transportation,scooters,mobility"
NYSE:Earnings,Technology,Marketplace,United States,2000-02-15,2004-08-20,1623,85000000,3,Market Fit Issues,"Early dot-com era failure",Series B,45,"dotcom,marketplace,retail"
Handy,Consumer Services,Home Services,USA,2012-01-01,2019-06-01,2700,450000000,5,Cash Flow Problems,"Intense competition and high customer acquisition costs",Series D,300,"home-services,cleaning,on-demand"
Homejoy,Consumer Services,Home Services,USA,2010-01-01,2015-07-01,1998,35000000,2,Market Fit Issues,"Could not achieve sustainable unit economics",Series B,150,"home-services,cleaning,marketplace"
Secret,Social Media,Anonymous Social,USA,2014-01-01,2015-04-01,485,135000000,2,Management Issues,"Failed to moderate content effectively",Series B,30,"social-media,anonymous,apps"
Vine,Social Media,Short Video,USA,2012-01-01,2017-01-01,1826,30000000,1,Management Issues,"Acquired by Twitter but eventually shut down",Series B,35,"social-media,video,social"
Soylent,Food & Beverage,Meal Replacement,USA,2013-01-01,2023-03-01,3700,95000000,4,Regulatory Issues,"FDA compliance and health concerns",Series C,200,"foodtech,meal-replacement,nutrition"
Adeo,SaaS,HR Tech,USA,2015-06-01,2022-11-01,2715,120000000,3,Cash Flow Problems,"High burn rate and difficult SMB sales",Series B,85,"hr-tech,saas,enterprise"
Truckle,Transportation,Logistics,USA,2018-03-01,2023-01-01,1795,78000000,2,Market Fit Issues,"Could not compete with established logistics companies",Series A,120,"logistics,trucking,transportation"
PlanetRails,Technology,Developer Tools,USA,2016-01-01,2022-05-01,2315,42000000,2,Market Fit Issues,"Small market and slow enterprise adoption",Series B,55,"developer-tools,api,saas"
Healthiex,Healthcare,Electronic Health Records,USA,2014-05-01,2022-03-01,2855,150000000,3,Market Fit Issues,"Difficult to displace existing EHR systems",Series C,180,"healthcare,ehr,software"
878031b5-8a6e-4e08-9764-7d016dc1bfc7,Technology,AI/ML,USA,2019-01-15,2025-05-01,2355,280000000,4,Cash Flow Problems,"Inability to monetize AI technology",Series B,120,"ai,ml,enterprise"
EdgeTech,Technology,Edge Computing,USA,2017-08-01,2024-02-01,2400,65000000,2,Market Fit Issues,"Market too early for widespread adoption",Series A,75,"edge-computing,iot,infrastructure"
QuantumAI,Technology,Quantum Computing,USA,2018-04-01,2024-11-01,2445,180000000,3,Technical Issues,"Unable to achieve practical quantum advantage",Series B,95,"quantum,computing,research"
